"","Fecha","Total Mercadona","Total Dia","Total Carrefour","Total Todos","Frescos Mercadona","Frescos Dia","Frescos Carrefour","Frescos Todos","Drogueria Mercadona","Drogueria Dia","Drogueria Carrefour","Drogueria Todos","Bebidas Mercadona","Bebidas Dia","Bebidas Carrefour","Bebidas Todos","Congelados Mercadona","Congelados Dia","Congelados Carrefour","Congelados Todos","Procesados Mercadona","Procesados Dia","Procesados Carrefour","Procesados Todos","KWh"
"1","2021-03-06 00:00:00",3.0748078834051,3.62730825526932,4.56622418437594,3.77756597790507,2.91797013274336,2.39297297297297,3.72842505592841,3.04819120586276,3.77936888888889,5.01144411473788,5.80387026239067,4.93697645446618,2.9262037037037,3.34346007604563,4.9502417302799,4.93697645446618,2.77213438735178,2.24471248246844,2.71434052757794,2.52754278728606,1.80089588377724,1.93741071428571,2.45978,2.02671480144404,"45.07"
"2","2021-03-07 00:00:00",3.06563545981773,3.65721912584336,4.54503131524008,3.77907919627793,3.07110477178423,2.40222278998467,3.73452263558942,3.09907782864617,3.78060471320587,5.07544823023487,5.74491304347826,4.94293077689243,2.92477657935285,3.34264892268695,4.9956582278481,4.94293077689243,1.76983002832861,2.24909217877095,2.68675294117647,2.2603547523427,1.81601635514019,1.9309009009009,2.40572,2.01323860272351,"47.05"
"3","2021-03-08 00:00:00",3.06439153439153,3.63501839587932,4.55574831460674,3.77308177067322,2.88534549474848,2.39909979423868,3.80327810120914,3.06985633144003,3.77383451957295,5.02203114645461,5.73447912885662,4.91691310310435,2.94476923076923,3.34597715736041,4.92825974025974,4.91691310310435,2.77520792079208,2.24743016759777,2.67966507177033,2.52028065893838,1.81183014354067,1.92650455927052,2.41192384769539,2.01445913461538,"54.43"
"4","2021-03-09 00:00:00",3.06622953530676,3.6421500806097,4.5634024772422,3.77963517449287,2.89055986696231,2.40392475851551,3.77684919210054,3.0601616936156,3.77328152753108,5.04738237243207,5.76084481508339,4.9350822122571,2.94426153846154,3.34264892268695,4.96136536030341,4.9350822122571,2.77431683168317,2.24888579387187,2.6973820754717,2.52545233758349,1.81183014354067,1.92392749244713,2.416,2.01530293941212,"56.88"
"5","2021-03-10 00:00:00",3.03529937148528,3.62061454972133,4.48548591230978,3.73349776934516,2.79880464858882,2.39548272357724,3.73489494859186,3.01508815701929,3.76720248667851,5.01031260392418,5.63768261030775,4.87111362493715,2.9293199381762,3.34701265822785,4.96570886075949,4.87111362493715,2.77570297029703,2.25391666666667,2.67091346153846,2.52020109689214,1.81226347305389,1.91612612612613,2.3669416498994,1.99860660660661,"55.87"
"6","2021-03-11 00:00:00",3.03760786906927,3.64603246563323,4.66862038006883,3.80717680122637,2.80582872928177,2.36714867617108,3.97648940964398,3.09552144168196,3.77334370831481,5.07160184574819,5.85405523255814,4.97621032980709,2.92329211746522,3.33914974619289,4.96688607594937,4.97621032980709,2.77250988142292,2.25621696801113,2.6978672985782,2.52799635701275,1.8105495818399,1.92726726726727,2.40772,2.01261676646707,"40.76"
"7","2021-03-12 00:00:00",3.03794642857143,3.67423491693384,4.54457203454022,3.77145302649787,2.80636464088398,2.51405775075988,3.7043793911007,3.03279608041899,3.77269453090262,5.05294117647059,5.73581884057971,4.92916614810205,2.92406491499227,3.33139240506329,4.99012610340479,4.92916614810205,2.77250988142292,2.27881793478261,2.64142512077295,2.52032004830918,1.81151913875598,1.93642857142857,2.42142284569138,2.01876720526631,"40.16"
"8","2021-03-13 00:00:00",3.03754467240238,3.68631509846827,4.51121121718377,3.76839106259246,2.80501934770591,2.51698074974671,3.64821942446043,3.02254702846679,3.77191640729213,5.0851561461794,5.72795512124502,4.93838194963849,2.92468217054264,3.33424778761062,5.02601769911504,4.93838194963849,2.77250988142292,2.29815612382234,2.68150234741784,2.53894925373134,1.81112574850299,1.92857566765579,2.37056,2.00209330143541,"27.75"
"9","2021-03-14 00:00:00",3.03046900894929,3.64671877282688,4.52832389749702,3.75895819508958,2.79792128603104,2.51133469179827,3.67329753914989,3.03015994668444,3.768753894081,4.98940159574468,5.74288398988074,4.90738843181252,2.90757387247278,3.3334595959596,5.0480404551201,4.90738843181252,2.74881188118812,2.32364485981308,2.65774346793349,2.53580298507463,1.81112574850299,1.93216216216216,2.37313253012048,2.00331332533013,"24.54"
"10","2021-03-15 00:00:00",3.03095261762757,3.66698115963196,4.51555815312683,3.76677295077812,2.79838137472284,2.51351351351351,3.67101613606629,3.03646748101684,3.76985765124555,5.03778702163062,5.7384208645945,4.92735096870343,2.90757387247278,3.31894472361809,5.03545454545455,4.92735096870343,2.74881188118812,2.33355525965379,2.69466666666667,2.55046126552336,1.81123205741627,1.93380239520958,2.35282101167315,2.00084916864608,"47.59"
"11","2021-03-16 00:00:00",3.03155577623304,3.65765170346542,4.49343343792022,3.75017318892408,2.79700774336283,2.51589928057554,3.65423713646532,3.02557188178327,3.7732725655847,5.0054219269103,5.69840247452693,4.89716747845635,2.90468944099379,3.32394968553459,4.99771863117871,4.89716747845635,2.74837623762376,2.33903311258278,2.7045971563981,2.55365041617122,1.81223684210526,1.93366366366366,2.33182364729459,1.99191846522782,"34.51"
"12","2021-03-17 00:00:00",3.0308093346574,3.68095252094664,4.52704172366621,3.73550580431177,2.78820796460177,2.51712286158631,3.13059082338152,2.79230105105105,3.77829702089818,5.05389259506338,5.97333861386139,4.98348430262481,2.90460465116279,3.32079345088161,5.098775,4.98348430262481,2.74837623762376,2.33781456953642,2.69064965197216,2.55035481963335,1.81111377245509,1.93474006116208,2.33932135728543,1.99455201443175,"17.35"
