ï»"Año";"Periodo";"Precio-la luz"
"2021-19-09";"146,57"
"2021-20-09";"156,75"
"2021-21-09";"150,26"
"2021-22-09";"175,87"
"2021-23-09";"165,19"
"2021-24-09";"172,97"
"2021-25-09";"166,36"
"2021-26-09";"160,42"
"2021-27-09";"174,68"
"2021-28-09";"182,71"
"2021-29-09";"189,9"
"2021-30-09";"189,83"
"2021-01-10";"216,01"
"2021-02-10";"173,65"
"2021-03-10";"111,6"
"2021-04-10";"186,46"
"2021-05-10";"203,68"
"2021-06-10";"228,59"
"2021-07-10";"288,53"
"2021-08-10";"229,2"
"2021-09-10";"226,21"
"2021-10-10";"175,91"
"2021-11-10";"184,48"
"2021-12-10";"184,74"
"2021-13-10";"185,74"
"2021-14-10";"215,63"
"2021-15-10";"231,82"
"2021-16-10";"226,93"
"2021-17-10";"209,63"
"2021-18-10";"227,45"
"2021-19-10";"207,14"
"2021-20-10";"201,4"
"2021-21-10";"207,92"
"2021-22-10";"203,54"
"2021-23-10";"211,21"
"2021-24-10";"213,29"
"2021-25-10";"225,36"
"2021-26-10";"215,83"
"2021-27-10";"226,15"
"2021-28-10";"205,05"
"2021-29-10";"175,83"
"2021-30-10";"124,53"
"2021-31-10";"79"
"2021-01-11";"91,2"
"2021-02-11";"145,95"
"2021-03-11";"154,29"
"2021-04-11";"171,91"
"2021-05-11";"171,45"
"2021-06-11";"157,53"
"2021-07-11";"131,5"
"2021-08-11";"167,67"
"2021-09-11";"178,45"
"2021-10-11";"199,28"
"2021-11-11";"183,21"
"2021-12-11";"185,02"
"2021-13-11";"180,48"
"2021-14-11";"172,47"
"2021-15-11";"180,88"
"2021-16-11";"194,23"
"2021-17-11";"194,84"
"2021-18-11";"226,94"
"2021-19-11";"228,84"
"2021-20-11";"218,46"
"2021-21-11";"229,62"
"2021-22-11";"236,51"
"2021-23-11";"225,58"
"2021-24-11";"225,7"
"2021-25-11";"228,42"
"2021-26-11";"227,59"
"2021-27-11";"204,35"
"2021-28-11";"201,42"
"2021-29-11";"215"
"2021-30-11";"274,56"
"2021-01-12";"247,21"
"2021-02-12";"220,66"
"2021-03-12";"226,15"
"2021-04-12";"220,9"
"2021-05-12";"101,97"
"2021-06-12";"209,78"
"2021-07-12";"211,81"
"2021-08-12";"108,73"
"2021-09-12";"216,74"
"2021-10-12";"208,41"
"2021-11-12";"239,53"
"2021-12-12";"256,98"
"2021-13-12";"268,21"
"2021-14-12";"287,78"
"2021-15-12";"291,73"
"2021-16-12";"302,48"
"2021-17-12";"309,2"
"2021-18-12";"306,33"
"2021-19-12";"319,63"
"2021-20-12";"339,84"
"2021-21-12";"327,38"
"2021-22-12";"360,02"
"2021-23-12";"383,67"
"2021-24-12";"311,02"
"2021-25-12";"226,42"
"2021-26-12";"188,53"
"2021-27-12";"96,08"
"2021-28-12";"104,36"
"2021-29-12";"181,09"
"2021-30-12";"200,68"
"2021-31-12";"140,82"
"2022-01-01";"122,63"
"2022-02-01";"136,97"
"2022-03-01";"150,5"
"2022-04-01";"152,47"
"2022-05-01";"180,99"
"2022-06-01";"212,98"
"2022-07-01";"215,86"
"2022-08-01";"203,45"
"2022-09-01";"119,83"
"2022-10-01";"217,26"
"2022-11-01";"223,16"
"2022-12-01";"206,07"
"2022-13-01";"215,11"
"2022-14-01";"202,95"
"2022-15-01";"218,82"
"2022-16-01";"213,1"
"2022-17-01";"244,67"
"2022-18-01";"222,73"
"2022-19-01";"213,16"
"2022-20-01";"190,64"
"2022-21-01";"179,09"
"2022-22-01";"190,41"
"2022-23-01";"201,34"
"2022-24-01";"227"
"2022-25-01";"224,24"
"2022-26-01";"236,77"
"2022-27-01";"232,5"
"2022-28-01";"224,59"
"2022-29-01";"223,36"
"2022-30-01";"230,5"
"2022-31-01";"221,82"
"2022-01-02";"206,54"
"2022-02-02";"210,18"
"2022-03-02";"207,89"
"2022-04-02";"197,03"
"2022-05-02";"198,37"
"2022-06-02";"190,47"
"2022-07-02";"206,46"
"2022-08-02";"203,7"
"2022-09-02";"210,52"
"2022-10-02";"205,7"
"2022-11-02";"196,49"
"2022-12-02";"198,94"
"2022-13-02";"164,04"
"2022-14-02";"183,32"
"2022-15-02";"199,94"
"2022-16-02";"178,09"
"2022-17-02";"163,41"
"2022-18-02";"184,26"
"2022-19-02";"137,76"
"2022-20-02";"162,64"
"2022-21-02";"183,32"
"2022-22-02";"179,74"
